target,model,finger_print_method,optimized_for,metric,metric_type,metric_value,n_samples,n_correct,n_incorrect,parameters,resampling
NR-AR,LogisticRegression,atom_pair,accuracy,f1_weighted,train,0.7728746199334436,11544.0,,,"{'C': 0.001, 'l1_ratio': 1.0}",smoten
NR-AR,LogisticRegression,atom_pair,accuracy,f1_macro,train,0.7728746199334435,11544.0,,,"{'C': 0.001, 'l1_ratio': 1.0}",smoten
NR-AR,LogisticRegression,atom_pair,accuracy,roc_auc,train,0.7778932778932779,11544.0,,,"{'C': 0.001, 'l1_ratio': 1.0}",smoten
NR-AR,LogisticRegression,atom_pair,accuracy,pr_auc,train,0.7488432902634086,11544.0,,,"{'C': 0.001, 'l1_ratio': 1.0}",smoten
NR-AR,LogisticRegression,atom_pair,accuracy,n,train,11544.0,11544.0,,,"{'C': 0.001, 'l1_ratio': 1.0}",smoten
NR-AR,LogisticRegression,atom_pair,accuracy,accuracy,test,0.9362186788154896,878.0,821.9999999999999,56.000000000000114,"{'C': 0.001, 'l1_ratio': 1.0}",smoten
NR-AR,LogisticRegression,atom_pair,accuracy,f1_weighted,test,0.9515999054454808,878.0,,,"{'C': 0.001, 'l1_ratio': 1.0}",smoten
NR-AR,LogisticRegression,atom_pair,accuracy,f1_macro,test,0.5168238993710692,878.0,,,"{'C': 0.001, 'l1_ratio': 1.0}",smoten
NR-AR,LogisticRegression,atom_pair,accuracy,roc_auc,test,0.5417535728080339,878.0,,,"{'C': 0.001, 'l1_ratio': 1.0}",smoten
NR-AR,LogisticRegression,atom_pair,accuracy,pr_auc,test,0.0207323040580443,878.0,,,"{'C': 0.001, 'l1_ratio': 1.0}",smoten
NR-AR,LogisticRegression,atom_pair,accuracy,n,test,878.0,878.0,,,"{'C': 0.001, 'l1_ratio': 1.0}",smoten
NR-AR,LogisticRegression,atom_pair,accuracy,selection,val,0.3789319524346747,1421.0,,,"{'C': 0.001, 'l1_ratio': 1.0}",smoten_enn
NR-AR,LogisticRegression,atom_pair,accuracy,n,val,1421.0,1421.0,,,"{'C': 0.001, 'l1_ratio': 1.0}",smoten_enn
NR-AR,LogisticRegression,atom_pair,accuracy,accuracy,val,0.9831104855735396,1421.0,1396.9999999999998,24.000000000000227,"{'C': 0.001, 'l1_ratio': 1.0}",smoten_enn
NR-AR,LogisticRegression,atom_pair,accuracy,f1_weighted,val,0.98045065985401,1421.0,,,"{'C': 0.001, 'l1_ratio': 1.0}",smoten_enn
NR-AR,LogisticRegression,atom_pair,accuracy,f1_macro,val,0.7814070351758794,1421.0,,,"{'C': 0.001, 'l1_ratio': 1.0}",smoten_enn
NR-AR,LogisticRegression,atom_pair,accuracy,roc_auc,val,0.7151324011873145,1421.0,,,"{'C': 0.001, 'l1_ratio': 1.0}",smoten_enn
